clientId,firstName,lastName,gender,dateOfBirth,maritialStatus,postCode,cityId,occupationId,levelId,incomeId,carCount,childCount,childAtHomeCount,isHomeOwner,accountDate,membershipLevelId
27E3DA18-821A-4263-8512-00011C731456,Lauretta,De Carlo,M,1951-09-01,M,53986,2E3C4D2E-2CD7-4F34-A5E7-D63E6000D321,37306ADC-A667-4486-A490-2BDD98781B4E,C9DEC06B-3EAB-4AF2-B35F-4F84F7DF5E3F,653D684D-4F4C-4373-92E7-9614E6846443,1,0,0,0,1992-05-17,4260BD43-7291-4895-8238-E8A26BCE5351
3BFCF3B9-E09E-4F79-80CA-000E521B9A83,Lorena,Spaulding,M,1936-03-09,S,43970,FF124728-3E7F-4F2D-9505-2D90ED2135AD,EF7DC024-A1D5-4470-BA23-326121B48E42,1699F9A2-EEFE-4FAA-9B7C-5415A2A2531D,200BD4AD-3C9F-4F86-AF80-BD3DF732D466,1,1,0,0,1993-03-05,5D43E62B-536D-4ED9-BE12-8050B39869E4
B7F49395-4592-4337-8BAF-000F21883BF7,Sean,Sheldon,F,1925-02-04,S,36795,6604BFCE-EC03-4EEE-8FF0-89AE3AF06127,C8209354-FD86-4844-BBBB-15EAB2B55385,B06A9CE7-07A1-464B-AADC-DD3A7BE1A643,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,2,4,0,1,1994-06-04,16A1628A-5427-4DD2-9CF4-31BC8A6F150F
8F1B7D6F-7755-498A-94EA-001106D33078,La Wanda,Grenemyer,F,1940-02-05,M,96429,FF124728-3E7F-4F2D-9505-2D90ED2135AD,37306ADC-A667-4486-A490-2BDD98781B4E,C9DEC06B-3EAB-4AF2-B35F-4F84F7DF5E3F,411CD562-3B4D-469B-B575-8A3C6F170D79,2,2,1,1,1993-07-11,4260BD43-7291-4895-8238-E8A26BCE5351
E81AC482-0EFA-4B30-B2C4-00168C7C901D,Alanna,Hicks,F,1912-11-10,S,13921,F77474D7-B33F-44F5-A6D7-AA259E68B21D,C8209354-FD86-4844-BBBB-15EAB2B55385,B06A9CE7-07A1-464B-AADC-DD3A7BE1A643,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,3,5,0,0,1992-09-07,4260BD43-7291-4895-8238-E8A26BCE5351
E233749B-70F7-483D-8755-001FA67C4B93,Mary,Porter,M,1954-08-13,S,18832,2E3C4D2E-2CD7-4F34-A5E7-D63E6000D321,EF7DC024-A1D5-4470-BA23-326121B48E42,104D4638-9066-4798-B7DF-0153401EE07D,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,4,1,0,1,1992-03-06,5D43E62B-536D-4ED9-BE12-8050B39869E4
E5C7186E-1D43-4430-B13A-00228F8C6C97,Betty,Rollins,M,1912-10-03,S,87068,4534829C-EDC3-48BB-A558-062582F53D23,37306ADC-A667-4486-A490-2BDD98781B4E,C9DEC06B-3EAB-4AF2-B35F-4F84F7DF5E3F,B83908BF-9152-455A-A687-04D150DE2697,2,3,0,1,1991-10-03,4260BD43-7291-4895-8238-E8A26BCE5351
1A256865-2CB7-4F60-AF62-0029D1FC8611,Maria,Green,F,1913-09-17,S,81655,A15EC7CC-33D8-4543-9A0D-3D1878100AA5,EF7DC024-A1D5-4470-BA23-326121B48E42,B06A9CE7-07A1-464B-AADC-DD3A7BE1A643,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,2,4,0,1,1990-08-04,4260BD43-7291-4895-8238-E8A26BCE5351
5D7E16FB-99E0-4FC9-8D94-002E02D189FB,Bonnie,Bruno,M,1972-05-02,M,99797,ADB03FDF-029C-4DE2-BE85-5C161611E6DE,37306ADC-A667-4486-A490-2BDD98781B4E,C9DEC06B-3EAB-4AF2-B35F-4F84F7DF5E3F,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,4,2,0,0,1990-10-06,4260BD43-7291-4895-8238-E8A26BCE5351
BBAB6E14-6A7E-4A66-B948-00316BE90BCA,Alberto,Quintiles,M,1971-07-11,S,57482,D9A628E9-FEB3-4CE4-9C46-8E57646FEBD7,37306ADC-A667-4486-A490-2BDD98781B4E,C9DEC06B-3EAB-4AF2-B35F-4F84F7DF5E3F,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,2,2,0,1,1993-07-11,4260BD43-7291-4895-8238-E8A26BCE5351
16883185-C695-457D-969A-003895D0F3EB,John,Smith,F,1958-03-12,S,71944,20A27086-6FC0-4B36-A39B-2904062BCF16,C8209354-FD86-4844-BBBB-15EAB2B55385,1699F9A2-EEFE-4FAA-9B7C-5415A2A2531D,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,2,2,0,0,1990-12-25,4260BD43-7291-4895-8238-E8A26BCE5351
50B6C9A7-1904-46C1-9D92-003D21D395D5,Christopher,Groome,F,1957-01-28,M,17817,77E2DDD2-9F01-409F-A5F9-CE9970EF0F3A,EF7DC024-A1D5-4470-BA23-326121B48E42,B06A9CE7-07A1-464B-AADC-DD3A7BE1A643,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,4,0,0,1,1990-09-07,4260BD43-7291-4895-8238-E8A26BCE5351
D733712B-29D5-4689-9A4F-003F296BEC0C,Anne,Allard,F,1923-04-19,S,18183,8FBEF9F6-88C3-49A3-B2DD-8C2F2E87D8A7,C8209354-FD86-4844-BBBB-15EAB2B55385,1699F9A2-EEFE-4FAA-9B7C-5415A2A2531D,200BD4AD-3C9F-4F86-AF80-BD3DF732D466,1,4,0,0,1994-09-03,16A1628A-5427-4DD2-9CF4-31BC8A6F150F
B286CCA6-D68E-4730-A53D-0046A625F622,Dottie,Rigdon,F,1938-03-03,M,20142,087CD120-4A01-48DE-8FDF-3F9951B963A5,EF7DC024-A1D5-4470-BA23-326121B48E42,1699F9A2-EEFE-4FAA-9B7C-5415A2A2531D,200BD4AD-3C9F-4F86-AF80-BD3DF732D466,0,0,0,1,1991-07-04,16A1628A-5427-4DD2-9CF4-31BC8A6F150F
E23763CA-D6BF-4867-933C-004AE3A52639,Ricki,Chadwick,M,1924-03-26,M,33314,20A27086-6FC0-4B36-A39B-2904062BCF16,37306ADC-A667-4486-A490-2BDD98781B4E,C9DEC06B-3EAB-4AF2-B35F-4F84F7DF5E3F,653D684D-4F4C-4373-92E7-9614E6846443,3,1,1,1,1990-12-25,0D4B99C3-5D68-4705-8963-FB7B5A1F54E7
2125BF2C-C710-4E81-9AA2-005060841FB2,Geneva,Thatcher,M,1930-03-19,M,53891,97235A78-8826-40FA-A7C4-09386E0E319B,EF7DC024-A1D5-4470-BA23-326121B48E42,B06A9CE7-07A1-464B-AADC-DD3A7BE1A643,62198A8D-AAC1-4C88-9CD2-B7107BAF8D01,2,3,2,1,1993-09-26,16A1628A-5427-4DD2-9CF4-31BC8A6F150F
